idx,metrics,AD_type,judge_value,y_pred,y_true
0,58.774034172565635,IAD,105.66386722704863,12.1967945,0.0
1,58.774034172565635,IAD,105.66386722704863,12.1967945,15.0
2,58.774034172565635,IAD,105.66386722704863,12.1967945,19.0
3,45.5449955238652,IAD,105.66386722704863,81.572845,80.0
4,45.5449955238652,IAD,105.66386722704863,81.572845,87.0
5,45.5449955238652,IAD,105.66386722704863,81.572845,83.0
6,55.08845463709733,IAD,105.66386722704863,51.92204,58.0
7,55.08845463709733,IAD,105.66386722704863,51.92204,41.0
8,64.10199001627642,IAD,105.66386722704863,88.2374,80.0
9,64.10199001627642,IAD,105.66386722704863,88.2374,93.0
10,64.10199001627642,IAD,105.66386722704863,88.2374,88.0
11,39.60117017931429,IAD,105.66386722704863,87.30335,92.0
12,39.60117017931429,IAD,105.66386722704863,87.30335,87.0
13,46.3564597494108,IAD,105.66386722704863,83.0148,82.0
14,153.38189140791508,OAD,105.66386722704863,82.69876,84.0
15,98.90661234373854,IAD,105.66386722704863,79.574646,80.0
16,134.42770400299582,OAD,105.66386722704863,88.18973,87.0
17,113.75629064861492,OAD,105.66386722704863,85.150154,85.0
18,65.72541082035028,IAD,105.66386722704863,78.80927,80.0
19,107.41109765273009,OAD,105.66386722704863,85.28858,86.0
20,58.44019751620073,IAD,105.66386722704863,82.714294,82.0
21,129.77557208974255,OAD,105.66386722704863,85.4039,85.0
22,142.32186922115852,OAD,105.66386722704863,86.67799,87.0
23,202.2247384864654,OAD,105.66386722704863,36.871536,35.0
24,202.2247384864654,OAD,105.66386722704863,28.626131,31.0
25,308.82639218095403,OAD,105.66386722704863,41.378063,41.0
26,347.51822639115085,OAD,105.66386722704863,28.396986,29.0
27,217.55926183916887,OAD,103.16139849408466,80.56664,86.0
28,245.13844698012082,OAD,103.16139849408466,34.70595,0.0
29,151.34470492502155,OAD,103.16139849408466,44.99965,37.0
30,148.16589783704018,OAD,103.16139849408466,69.513824,49.0
31,280.6148787963136,OAD,103.16139849408466,46.7527,67.0
32,259.7263458804276,OAD,103.16139849408466,60.753998,0.0
33,195.44521053466838,OAD,103.16139849408466,81.59453,72.0
34,217.55926183916887,OAD,103.16139849408466,80.56664,23.0
35,217.55926183916887,OAD,103.16139849408466,80.56664,48.0
36,219.6233850063626,OAD,103.16139849408466,62.398964,68.0
37,138.81255336736297,OAD,103.16139849408466,80.33895,0.0
38,192.75319466435693,OAD,103.16139849408466,49.53921,0.0
39,217.55926183916887,OAD,103.16139849408466,80.56664,86.0
40,258.6696547378757,OAD,103.16139849408466,64.269844,58.0
41,283.5300098165087,OAD,103.16139849408466,22.947104,9.0
42,245.88260442138483,OAD,103.16139849408466,78.16201,82.0
43,270.1176471110321,OAD,103.16139849408466,75.1956,86.0
44,273.88048365718197,OAD,103.16139849408466,75.69142,81.0
45,284.5161105047724,OAD,103.16139849408466,72.56389,54.0
46,303.76710272734215,OAD,103.16139849408466,83.592606,78.0
