idx,metrics,AD_type,judge_value,y_pred,y_true
27,299.41731685613934,OAD,194.43107548253545,70.02443,86.0
28,324.6634775469019,OAD,194.43107548253545,41.505978,0.0
29,217.0461856098739,OAD,194.43107548253545,54.40138,37.0
30,225.9077298947789,OAD,194.43107548253545,77.89848,49.0
31,419.9928902090441,OAD,194.43107548253545,48.301178,67.0
32,371.3583102556248,OAD,194.43107548253545,62.153595,0.0
33,269.96598595192074,OAD,194.43107548253545,75.62608,72.0
34,299.41731685613934,OAD,194.43107548253545,70.02443,23.0
35,299.41731685613934,OAD,194.43107548253545,70.02443,48.0
36,301.3811676369693,OAD,194.43107548253545,60.501667,68.0
37,200.01730345371442,OAD,194.43107548253545,81.99407,0.0
38,274.05351632390824,OAD,194.43107548253545,53.922962,0.0
39,299.41731685613934,OAD,194.43107548253545,70.02443,86.0
40,345.11002717790154,OAD,194.43107548253545,61.07066,58.0
41,374.6540780758499,OAD,194.43107548253545,28.821978,9.0
42,328.62547264538114,OAD,194.43107548253545,63.199318,82.0
43,372.0267780429159,OAD,194.43107548253545,63.667408,86.0
44,363.63216502026546,OAD,194.43107548253545,59.19471,81.0
45,379.2084323233316,OAD,194.43107548253545,54.19578,54.0
46,390.7344987770952,OAD,194.43107548253545,61.420006,78.0
47,386.61073026736346,OAD,194.43107548253545,60.810635,53.0
48,383.5861086613647,OAD,194.43107548253545,59.9724,64.0
49,404.5399046037515,OAD,194.43107548253545,73.78078,92.0
50,424.59331509847965,OAD,194.43107548253545,77.07962,86.0
51,382.6770511730545,OAD,194.43107548253545,72.68032,75.0
52,404.2773891737739,OAD,194.43107548253545,68.05678,66.0
53,348.21762179248543,OAD,194.43107548253545,67.70972,80.0
54,474.08981682835594,OAD,194.43107548253545,65.9265,63.0
55,396.63305989332287,OAD,194.43107548253545,68.772285,76.0
56,437.1939634355992,OAD,194.43107548253545,60.333313,89.0
57,427.7833512070091,OAD,194.43107548253545,54.150593,66.0
58,420.04297609970916,OAD,194.43107548253545,24.856722,0.0
59,376.50949294001214,OAD,194.43107548253545,49.29956,87.0
60,459.40870361281293,OAD,194.43107548253545,56.098015,84.0
61,490.3563262308588,OAD,194.43107548253545,57.61497,82.0
62,518.412404184738,OAD,194.43107548253545,59.886017,80.0
63,379.8648566956153,OAD,194.43107548253545,59.881985,89.0
64,448.072648271304,OAD,194.43107548253545,55.86174,86.0
65,461.1256632626369,OAD,194.43107548253545,56.791794,62.0
66,481.30294018889083,OAD,194.43107548253545,67.20671,73.0
67,682.2291182951716,OAD,194.43107548253545,14.119232,89.0
68,668.9759959113554,OAD,194.43107548253545,18.862839,87.0
69,693.9770441647863,OAD,194.43107548253545,14.835124,81.0
70,740.0862172872223,OAD,194.43107548253545,15.8788805,88.0
71,702.1002037470456,OAD,194.43107548253545,19.15034,90.0
72,591.8391522044058,OAD,194.43107548253545,7.3120537,83.0
73,662.7593451767725,OAD,194.43107548253545,19.510553,88.0
74,702.5518865880904,OAD,194.43107548253545,21.066137,92.0
75,641.5803069936226,OAD,194.43107548253545,19.671738,89.0
76,694.2459901014169,OAD,194.43107548253545,20.219696,93.0
77,623.2923034993798,OAD,194.43107548253545,17.504938,86.0
78,789.9864027443716,OAD,194.43107548253545,7.219782,71.0
79,719.1350025684985,OAD,194.43107548253545,9.564825,78.0
80,650.0620330691966,OAD,194.43107548253545,14.766066,83.0
81,701.0771046557144,OAD,194.43107548253545,18.870766,80.0
82,794.5852573307618,OAD,194.43107548253545,15.365982,76.0
83,722.8917042618901,OAD,194.43107548253545,9.545474,75.0
84,716.0227483328246,OAD,194.43107548253545,10.240932,71.0
85,722.8917042618901,OAD,194.43107548253545,9.545474,72.0
86,523.5701449232862,OAD,194.43107548253545,53.03972,95.0
87,516.3415438824793,OAD,194.43107548253545,50.326385,93.0
88,480.04432573078986,OAD,194.43107548253545,53.410797,92.0
89,485.68907306111566,OAD,194.43107548253545,50.312637,90.0
90,640.2210371920731,OAD,194.43107548253545,63.691833,93.0
91,526.9849592737022,OAD,194.43107548253545,53.829426,91.0
92,592.119728528559,OAD,194.43107548253545,61.836555,94.0
93,577.4086785970684,OAD,194.43107548253545,62.613472,91.0
230,417.74671384657137,OAD,194.43107548253545,67.62193,30.0
231,469.3381202756174,OAD,194.43107548253545,62.601734,27.0
232,433.6822154431178,OAD,194.43107548253545,68.59236,55.0
233,432.8751090744613,OAD,194.43107548253545,71.26641,93.0
234,362.0646897171801,OAD,194.43107548253545,60.751507,18.0
235,375.09014719942894,OAD,194.43107548253545,79.32686,24.0
236,406.96475892389515,OAD,194.43107548253545,74.41233,26.0
237,366.81062180808857,OAD,194.43107548253545,79.43294,85.0
238,407.9615476243107,OAD,194.43107548253545,70.90155,49.0
239,444.0865311779483,OAD,194.43107548253545,68.532196,80.0
240,464.54551212726517,OAD,194.43107548253545,66.85519,40.0
241,398.4749324218007,OAD,194.43107548253545,78.300606,90.0
242,438.9423882926377,OAD,194.43107548253545,75.982285,20.0
243,365.5175686212616,OAD,194.43107548253545,76.86531,27.0
244,432.8751090744613,OAD,194.43107548253545,71.26641,93.0
245,440.7275673969807,OAD,194.43107548253545,12.515687,0.0
246,472.77216221808794,OAD,194.43107548253545,85.07693,99.0
247,584.8353878150148,OAD,194.43107548253545,66.41166,82.0
248,551.4606169195107,OAD,194.43107548253545,77.94941,84.0
249,513.3075299535441,OAD,194.43107548253545,62.270058,87.0
250,720.2001857678695,OAD,194.43107548253545,68.52129,96.0
251,413.954612088401,OAD,194.43107548253545,61.61814,85.0
252,533.6222864159125,OAD,194.43107548253545,38.44848,96.0
