smiles,E_HOMO,VIP,VEA,Mulliken_Chi,Chem_potential,Elec_hardness,Elec_softness,Electro_idx,Nucleo_idx,min_ESP,max_ESP,aver_pESP,aver_nESP,aver_oESP,vari_p_ESP,vari_n_ESP,vari_o_ESP,char_balance,MPI,area_pSurface,area_nSurface,aver_ALIE,vari_ALIE,aver_LEAE,vari_LEAE,aver_LEA,vari_LEA,Molecular_ES_radius_min,Molecular_ES_radius_max,Molecular_volumn,Molecular_sphericity,Molecular_all_surface_area,Molecular_length,Molecular_widht,Molecular_height,HOMO_energy,LUMO_energy,HOMO_LUMO_energy_gap,HOMO_ODI,LUMO_ODI
[K+].[OH-],-0.151136,0.267757,0.005566,0.136661,-0.136661,0.262192,3.814004,0.035616,0.184062,-0.089952,0.110538,0.08535329,-0.06146987,0.00393963,0.00097782,0.00061639,0.00159421,0.23714996,1.96221015,110.98051,138.13481,0.41910751,0.04743531,-0.3227111,0.031513,-0.0114861,0.00015,3.679901,6.869052,343.02936,0.951,249.18348,4.0,6.354,4.0,-0.151136,-0.040988,0.110148,86.21,97.76
O=P([O-])([O-])[O-].[K+].[K+].[K+],-0.129864,0.2123,-0.002375,0.104963,-0.104963,0.214675,4.658198,0.02566,0.205334,-0.12256,0.098423,0.06604585,-0.07397555,-0.00667922,0.00067136,0.00095755,0.00162892,0.24228308,1.90927106,269.90969,291.68311,0.44996583,0.03744695,-0.3674492,0.034815,-0.0045538,2.7e-05,4.15912,9.216861,1025.76365,0.8757,561.70986,8.577,8.583,5.55,-0.129864,-0.023769,0.106094,36.47,54.68
O=C([O-])[O-].[K+].[K+],-0.139414,0.232961,0.005592,0.119277,-0.119277,0.227369,4.398131,0.031286,0.195784,-0.145866,0.105875,0.07696593,-0.07518688,-0.00287229,0.00081492,0.00139525,0.00221017,0.23276337,2.06894735,207.3763,228.95179,0.4556715,0.03365521,-0.4313179,0.083807,-0.0084449,0.0001,3.447289,8.455721,714.02117,0.8852,436.42889,4.0,5.522,8.952,-0.139414,-0.03494,0.104474,32.01,45.2
O=C([O-])[O-].[Cs+].[Cs+],-0.136873,0.220717,0.007423,0.11407,-0.11407,0.213294,4.688358,0.030503,0.198325,-0.146523,0.067942,0.05128843,-0.07581467,-0.00162874,0.00022874,0.00143423,0.00166297,0.11862849,1.67348657,320.39338,228.53805,0.39785661,0.00913844,-0.3832857,0.059203,-0.005911,2.4e-05,3.431143,9.969377,955.38523,0.8544,549.03431,9.548,5.64,4.0,-0.136873,-0.032287,0.104587,30.37,48.2
[Cs+].[F-],-0.203376,0.326984,0.00864,0.167812,-0.167812,0.318344,3.141256,0.04423,0.131822,-0.124102,0.079437,0.06358413,-0.08568617,0.00920972,0.00032768,0.00116825,0.00149593,0.1710662,1.94929281,179.46771,102.83323,0.40412115,0.01182164,-0.267492,0.017143,-0.0115456,7.1e-05,3.334302,6.744365,411.59672,0.9476,282.37532,4.0,4.0,5.877,-0.203376,-0.042779,0.160597,65.72,98.99
[Li+].[OH-],-0.206879,0.333619,-0.005215,0.164202,-0.164202,0.338834,2.951296,0.039787,0.128319,-0.065182,0.234793,0.08984317,-0.04296521,0.00272452,0.00560969,0.00039816,0.00600786,0.06188137,1.60798908,63.24908,120.59983,0.3329623,0.02941302,-0.4034233,0.028422,-0.0154781,0.000718,3.542433,4.572201,229.91176,0.9868,183.91415,3.64,3.64,5.526,-0.206879,-0.038946,0.167933,90.43,97.95
[Na+].[OH-],-0.167482,0.286346,0.006607,0.146476,-0.146476,0.279739,3.574767,0.038349,0.167716,-0.083308,0.195949,0.12412618,-0.05495652,0.00522098,0.00395255,0.00060517,0.00455772,0.11514951,2.12792298,69.48952,137.30489,0.42541866,0.10309085,-0.3738372,0.020944,-0.0201329,0.000783,3.666404,5.604981,265.30598,0.9652,206.86513,4.54,4.54,6.34,-0.167482,-0.05185,0.115632,86.46,94.92
CC(C)(C)[O-].[K+],-0.159104,0.242508,0.015204,0.128856,-0.128856,0.227304,4.399399,0.036523,0.176094,-0.062609,0.126597,0.0978842,-0.03162642,-0.0043412,0.00124806,8.215e-05,0.0013302,0.05794062,1.24044636,117.70728,440.99609,0.40835711,0.02203425,-0.530524,0.05891,-0.006054,0.000159,4.339786,10.631831,986.78356,0.8577,558.85394,8.461,6.25,6.726,-0.159104,-0.04998,0.109125,38.47,96.76
C[O-].[K+],-0.146029,0.244358,0.011609,0.127984,-0.127984,0.232749,4.296475,0.035188,0.189169,-0.07846,0.122334,0.09392527,-0.05150466,-0.00297112,0.00120474,0.00021923,0.00142396,0.13025275,1.78673922,116.55746,232.70501,0.415441,0.03554063,-0.4408509,0.068805,-0.009845,0.000208,3.405237,9.14048,513.16971,0.8873,349.35717,4.225,7.289,4.175,-0.146029,-0.047295,0.098734,49.99,96.33
CC(C)(C)[O-].[Na+],-0.171566,0.255879,0.018343,0.137111,-0.137111,0.237536,4.209892,0.039572,0.163632,-0.057545,0.211466,0.13165267,-0.02779469,-0.00413992,0.00495806,7.311e-05,0.00503117,0.01432065,1.17560006,76.29533,437.98106,0.41126605,0.04590298,-0.5687888,0.043092,-0.0090143,0.000613,4.30068,9.218389,907.04323,0.8809,514.41952,8.433,6.205,6.729,-0.171566,-0.060994,0.110572,38.9,92.43
O=C([O-])[O-].[Na+].[Na+],-0.169503,0.268,0.007791,0.137895,-0.137895,0.260208,3.843076,0.036538,0.165695,-0.129555,0.179399,0.10696621,-0.0653867,-0.0002058,0.00336866,0.00120664,0.0045753,0.1941761,2.20715217,135.09217,222.1218,0.45198767,0.06427691,-0.5033625,0.068595,-0.0146256,0.000458,3.436106,6.956867,564.17987,0.9241,357.30835,8.836,5.655,4.54,-0.169504,-0.042368,0.127135,30.17,43.77
CC(C)(C)[O-].[Li+],-0.203587,0.289385,0.006059,0.147722,-0.147722,0.283326,3.529503,0.03851,0.131611,-0.043691,0.254844,0.11076493,-0.01812065,-0.00248094,0.00627367,5.421e-05,0.00632788,0.00849368,0.79899798,59.76681,432.76649,0.37655995,0.01253311,-0.5762874,0.040524,-0.0062297,0.000476,4.231398,7.955147,867.93911,0.8931,492.66782,7.601,6.725,6.25,-0.203587,-0.048159,0.155429,40.18,93.79
C[O-].[Na+],-0.160356,0.25971,0.014627,0.137168,-0.137168,0.245084,4.08024,0.038385,0.174842,-0.072063,0.207562,0.13018322,-0.04561933,-0.00290422,0.00465002,0.00020536,0.00485538,0.04050614,1.8004681,74.20611,231.20395,0.42073789,0.07634973,-0.4920654,0.053305,-0.0156438,0.000894,3.399968,7.785512,434.12833,0.9076,305.50974,4.54,7.272,4.54,-0.160356,-0.058627,0.101728,49.99,93.2
CC[O-].[Na+],-0.164069,0.25796,0.016317,0.137139,-0.137139,0.241643,4.138334,0.038915,0.171129,-0.069394,0.209521,0.13114887,-0.03713639,-0.00430968,0.00477898,0.00017426,0.00495324,0.03394409,1.50955212,75.12016,309.9813,0.41488955,0.06132784,-0.5326689,0.050015,-0.0123493,0.000778,3.415304,8.750692,595.8974,0.889,385.21499,8.678,4.915,4.54,-0.164069,-0.05977,0.104299,43.34,93.28
CC(=O)[O-].[Na+],-0.221559,0.327439,0.006125,0.166782,-0.166782,0.321314,3.112219,0.043285,0.113639,-0.07826,0.195835,0.11271594,-0.03155556,-0.0010226,0.00430884,0.00049625,0.00480509,0.0926093,1.3260643,78.65048,292.98146,0.44289961,0.03093716,-0.596526,0.062012,-0.0105167,0.000612,3.456108,8.113155,582.65511,0.9075,371.73134,7.961,5.275,4.54,-0.221559,-0.051314,0.170246,43.6,74.1
blanck_cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
