smiles,E_HOMO,VIP,VEA,Mulliken_Chi,Chem_potential,Elec_hardness,Elec_softness,Electro_idx,Nucleo_idx,min_ESP,max_ESP,aver_pESP,aver_nESP,aver_oESP,vari_p_ESP,vari_n_ESP,vari_o_ESP,char_balance,MPI,area_pSurface,area_nSurface,aver_ALIE,vari_ALIE,aver_LEAE,vari_LEAE,aver_LEA,vari_LEA,Molecular_ES_radius_min,Molecular_ES_radius_max,Molecular_volumn,Molecular_sphericity,Molecular_all_surface_area,Molecular_length,Molecular_widht,Molecular_height,HOMO_energy,LUMO_energy,HOMO_LUMO_energy_gap,HOMO_ODI,LUMO_ODI
CCCCCCCCCCCCS,-0.230193,0.318645,-0.076218,0.121213,-0.121213,0.394862,2.532527,0.018605,0.105005,-0.036381,0.029533,0.00748673,-0.0154949,0.00430854,2.241e-05,0.00013545,0.00015786,0.1217914,0.23385997,936.91215,150.36185,0.40718011,0.00131347,-0.6536409,0.022055,0.0,0.0,2.940815,16.616782,2171.96368,0.7458,1087.56913,15.577,6.957,6.666,-0.230193,0.024698,0.254891,71.37,11.7
SC1CCCCC1,-0.229163,0.32264,-0.08656,0.11804,-0.11804,0.4092,2.443792,0.017025,0.106035,-0.035505,0.02983,0.00836372,-0.01359514,0.0025201,3.345e-05,0.00012761,0.00016107,0.16456334,0.26547114,427.93785,155.17638,0.402616,0.00183434,-0.6474967,0.023455,0.0,0.0,4.333598,8.777862,1125.44397,0.8971,583.26493,7.698,6.793,5.579,-0.229163,0.02311,0.252273,71.28,12.34
CCC(C)S,-0.230018,0.328732,-0.090406,0.119163,-0.119163,0.419138,2.385848,0.016939,0.10518,-0.036176,0.030277,0.00966711,-0.01427118,0.00239145,3.574e-05,0.00012505,0.00016079,0.17287616,0.30113326,363.12974,158.55889,0.40243182,0.00201483,-0.6268565,0.02483,0.0,0.0,3.806501,8.213365,933.72154,0.8853,521.82889,7.641,6.737,5.273,-0.230018,0.022889,0.252908,76.23,12.85
Sc1ccc2ccccc2c1,-0.212955,0.277994,-0.014946,0.131524,-0.131524,0.292939,3.413678,0.029526,0.122243,-0.026725,0.041916,0.01489624,-0.0134711,0.00081014,7.293e-05,4.22e-05,0.00011513,0.23217994,0.38609059,354.70427,349.85782,0.3938393,0.00234664,-0.7265849,0.0218,-0.0049875,2.9e-05,3.658285,11.605413,1376.31459,0.8491,704.70345,10.877,7.844,3.6,-0.212955,-0.049239,0.163716,20.26,13.65
COC(=O)c1ccc(O)cc1,-0.238433,0.312878,-0.029602,0.141638,-0.141638,0.34248,2.919881,0.029288,0.096765,-0.05957,0.089151,0.01855269,-0.01798302,-3.952e-05,0.00030412,0.00022614,0.00053026,0.24459314,0.49695599,327.4979,339.3381,0.42997343,0.00269774,-0.7656288,0.041487,-0.0042787,3.7e-05,3.780273,10.871126,1230.49334,0.8326,666.9759,10.945,6.923,4.183,-0.238433,-0.040754,0.197679,17.48,13.72
NCCO,-0.232986,0.330609,-0.117678,0.106465,-0.106465,0.448287,2.230715,0.012642,0.102212,-0.058336,0.066216,0.02083384,-0.0262319,0.00377527,0.00020398,0.00031724,0.00052122,0.23819536,0.62015607,245.29431,139.44561,0.42824559,0.00277634,-0.7097604,0.059771,0.0,0.0,3.478856,7.125821,607.84181,0.9017,384.86184,6.834,4.785,4.266,-0.232986,0.047887,0.280873,37.01,13.67
CCCCCN,-0.231689,0.332634,-0.106948,0.112843,-0.112843,0.439583,2.274884,0.014484,0.103509,-0.057158,0.037145,0.00913427,-0.00840732,0.00108691,9.182e-05,0.00013643,0.00022825,0.24045101,0.2394813,307.13077,260.32572,0.41267434,0.00122514,-0.6470849,0.031405,0.0,0.0,3.082788,9.301099,1008.14029,0.8566,567.61824,8.492,6.021,5.189,-0.231689,0.048826,0.280515,52.36,9.39
CC12CC[C@@H](CC1N)C2(C)C,-0.230982,0.31643,-0.09338,0.111525,-0.111525,0.40981,2.440158,0.015175,0.104216,-0.053038,0.036824,0.00807557,-0.00766233,0.00227869,6.564e-05,0.00011045,0.00017609,0.23381299,0.21560547,455.66936,265.71315,0.4107195,0.00070683,-0.6714809,0.028209,0.0,0.0,5.307789,9.086453,1532.95109,0.891,721.58148,8.869,7.529,7.296,-0.230982,0.041042,0.272025,39.87,6.89
CC1(C)C2CCC(CN)C1C2,-0.231461,0.316739,-0.097346,0.109696,-0.109696,0.414085,2.414963,0.01453,0.103737,-0.055696,0.037235,0.00806351,-0.00780094,0.00152079,7.005e-05,0.00012006,0.00019011,0.23269382,0.21647253,443.6034,311.35577,0.41034494,0.00093457,-0.6747552,0.02962,0.0,0.0,4.118441,10.500305,1550.15353,0.8578,755.15916,9.649,7.935,7.018,-0.231461,0.047205,0.278666,42.68,6.24
NCCC1OCCO1,-0.231632,0.319536,-0.111412,0.104062,-0.104062,0.430947,2.320469,0.012564,0.103566,-0.062299,0.035443,0.0144383,-0.0215448,0.00044493,7.53e-05,0.00027177,0.00034707,0.16988569,0.46808832,363.34726,231.21955,0.42429767,0.00181511,-0.7154249,0.049824,0.0,0.0,3.400514,10.233872,1050.62117,0.8403,594.74282,9.913,5.655,5.216,-0.231632,0.057747,0.289379,53.05,15.09
