smiles,E_HOMO,VIP,VEA,Mulliken_Chi,Chem_potential,Elec_hardness,Elec_softness,Electro_idx,Nucleo_idx,min_ESP,max_ESP,aver_pESP,aver_nESP,aver_oESP,vari_p_ESP,vari_n_ESP,vari_o_ESP,char_balance,MPI,area_pSurface,area_nSurface,aver_ALIE,vari_ALIE,aver_LEAE,vari_LEAE,aver_LEA,vari_LEA,Molecular_ES_radius_min,Molecular_ES_radius_max,Molecular_volumn,Molecular_sphericity,Molecular_all_surface_area,Molecular_length,Molecular_widht,Molecular_height,HOMO_energy,LUMO_energy,HOMO_LUMO_energy_gap,HOMO_ODI,LUMO_ODI
Brc1ccc(NCc2ccccc2)cc1,-0.202992,0.267052,-0.035151,0.11595,-0.11595,0.302203,3.309036,0.022244,0.132206,-0.028381,0.063351,0.0163503,-0.01511418,0.0010422,0.00013935,5.976e-05,0.00019911,0.21004888,0.42854933,485.75291,460.24854,0.39613567,0.003019,-0.7263254,0.022231,-0.0028611,1.1e-05,2.494792,14.834035,1895.91917,0.7829,946.1911,12.691,7.923,7.277,-0.202992,-0.019581,0.183411,14.9,9.94
C[C@@H](Nc1ccccc1)c1ccccc1,-0.197972,0.264622,-0.044777,0.109922,-0.109922,0.309399,3.232077,0.019527,0.137226,-0.035876,0.053613,0.01239577,-0.01564466,0.00032123,7.686e-05,9.512e-05,0.00017199,0.2471825,0.37537506,523.95356,396.25109,0.40186077,0.00232043,-0.7147942,0.024369,-0.0014304,5e-06,3.089079,12.496462,1856.13651,0.7936,920.40453,11.716,8.419,7.054,-0.197972,-0.012994,0.184978,17.94,14.4
COc1cccc(NCCO)c1,-0.190606,0.258986,-0.074384,0.092301,-0.092301,0.33337,2.999669,0.012778,0.144592,-0.044061,0.07573,0.01552799,-0.02091142,-0.00156385,0.00017801,0.00014867,0.00032668,0.2479835,0.49124923,416.96753,368.35317,0.41198681,0.00323182,-0.7257362,0.038119,0.0,0.0,3.608545,12.264421,1486.13517,0.8018,785.50189,12.322,7.742,4.836,-0.190606,0.010815,0.201421,19.49,18.25
O=Cc1ccc(NCCO)cc1,-0.210034,0.277058,-0.024454,0.126302,-0.126302,0.301512,3.316618,0.026454,0.125164,-0.069512,0.085103,0.02218419,-0.02261826,0.00223368,0.00026435,0.00035257,0.00061691,0.24488737,0.60892225,420.50288,337.56917,0.41850597,0.0027724,-0.7431364,0.038228,-0.0037131,3.7e-05,3.552052,13.004749,1429.13209,0.8092,758.24485,12.615,6.756,4.889,-0.210034,-0.044409,0.165625,19.01,14.36
C=CCNc1ccc(C#N)cc1,-0.218563,0.284487,-0.028274,0.128106,-0.128106,0.31276,3.197336,0.026236,0.116635,-0.07195,0.065605,0.02088651,-0.02471926,0.00499758,0.00013638,0.00046058,0.00059696,0.17626429,0.6046867,511.30598,273.38383,0.41229935,0.00239098,-0.6999297,0.025757,-0.0058183,4e-05,3.338795,14.460086,1467.91957,0.7959,784.84413,13.909,6.969,5.181,-0.218563,-0.035156,0.183407,18.58,14.56
C=CCNc1cccc(N)c1,-0.186936,0.255022,-0.064811,0.095105,-0.095105,0.319833,3.12663,0.01414,0.148262,-0.04616,0.049893,0.01470559,-0.01903059,3.67e-05,0.00014227,0.00016635,0.00030862,0.24847871,0.45133211,424.43656,326.52851,0.40115656,0.00341945,-0.7049596,0.033678,-2.54e-05,0.0,3.312978,12.833622,1414.10966,0.8111,751.12725,12.377,7.667,5.233,-0.186936,-0.000251,0.186685,18.1,31.6
CCCCNc1ccc(OC)cc1OC,-0.169733,0.234517,-0.075282,0.079617,-0.079617,0.3098,3.22789,0.010231,0.165465,-0.043776,0.035199,0.00978718,-0.01888272,-0.0003548,3.999e-05,0.00014656,0.00018655,0.16840856,0.35387663,642.88268,351.90677,0.41434186,0.00216757,-0.7032664,0.035376,0.0,0.0,2.89489,13.895938,1950.83692,0.7588,995.02634,12.97,10.077,5.426,-0.169733,0.010447,0.180179,13.09,15.63
COc1ccc(NCCO)c(OC)c1,-0.173054,0.239052,-0.075147,0.081953,-0.081953,0.314199,3.1827,0.010688,0.162144,-0.050894,0.069059,0.01467859,-0.02141956,-0.00102286,0.00011571,0.00015375,0.00026947,0.24501798,0.47921087,500.89044,385.58721,0.41664254,0.00287025,-0.7286365,0.041315,0.0,0.0,3.452435,13.296331,1704.74588,0.7783,886.67642,12.794,8.886,5.176,-0.173054,0.010678,0.183733,12.89,18.38
C=CCNc1ccccc1OC,-0.184529,0.252414,-0.065834,0.09329,-0.09329,0.318248,3.142206,0.013673,0.150669,-0.038158,0.042493,0.01246598,-0.01630085,-0.00043459,6.584e-05,0.00011062,0.00017646,0.23389796,0.38601362,437.11788,355.41297,0.40712003,0.00287676,-0.6990194,0.030609,0.0,0.0,3.473634,11.914402,1523.96799,0.8079,792.70643,10.974,8.835,5.35,-0.184529,0.002719,0.187248,15.67,21.08
c1ccc(N2CCOCC2)cc1,-0.19499,0.261336,-0.065252,0.098042,-0.098042,0.326588,3.061962,0.014716,0.140208,-0.048231,0.025948,0.01326994,-0.01740581,0.00190143,4.223e-05,0.00012954,0.00017177,0.18540488,0.40280213,470.03247,276.76512,0.41084141,0.00229911,-0.723461,0.032258,-0.0003116,0.0,3.588062,11.652308,1465.04797,0.8351,746.9687,10.938,6.61,5.831,-0.19499,-0.003675,0.191315,20.04,19.44
