smiles,E(T), SPP, SB, SA, α, β, π*, ε, nD20 (g), δd, δp, δh, δ, f(n2)
CCOC(C)=O,0.24, 0.78, 0.53, 0, 0, 0.45, 0.46, 5.1, 1.3942, 7.72, 1.81, 3.08, 8.506521028, 0.19310011
OCC(F)(F)F,0.9, 0.91, 0.11, 0.89, 1.51, 0, 0.73, 2.03, 1.294, 7.53, 4.06, 8.02, 11.72624833, 0.155082973
C1CCC2CCCCC2C1,0.02, 0.6, 0.06, 0, 0, 0.08, 0.11, 2.23, 1.48, 8.8, 0, 0, 8.8, 0.221231044
OC1CCCCC1,0.5, 0.85, 0.85, 0.26, 0.66, 0.84, 0.45, 15, 1.466, 8.51, 2, 6.6, 10.95354281, 0.216890965
O=C1CCCCC1,0.28, 0.87, 0.48, 0, 0, 0.53, 0.76, 18.2, 1.448, 8.7, 3.08, 2.49, 9.559105607, 0.211172317
CCCCCCCCCO,0.52, 0.77, 0.91, 0.26, 0.7, 0.82, 0.45, 8.1, 1.4366, 8.6, 1.32, 4.89, 9.980706388, 0.207467713
c1ccc(Oc2ccccc2)cc1,0.17, 0.82, 0.33, 0, 0, 0.41, 0.8, 3.86, 1.561, 8.51, 1.81, 3.62, 9.423407027, 0.244613125
C1COCCO1,0.164, 0.7, 0.44, 0, 0, 0.37, 0.55, 2.21, 1.4224, 9.29, 0.88, 3.62, 10.00914082, 0.202760965
CCCCCCCCCCCC,0.01, 0.57, 0.09, 0, 0, 0, 0.05, 2, 1.422, 7.82, 0, 0, 7.82, 0.202626875
NC=O,0.8, 0.83, 0.41, 0.55, 0.71, 0.48, 0.97, 111, 1.4453, 8.41, 12.81, 9.29, 17.92005301, 0.210300787
O=CO,0.83, 0.91, 0.28, 1.02, 1.23, 0.38, 0.65, 58.5, 1.37, 6.99, 5.82, 8.12, 12.19290367, 0.184462956
CCCCCCC,0.01, 0.53, 0.08, 0, 0, 0, -0.08, 1.92, 1.3876, 7.48, 0, 0, 7.48, 0.19077696
OC(C(F)(F)F)C(F)(F)F,1.07, 1.01, 0.01, 1.01, 1.96, 0, 0.65, 16.7, 1.275, 8.41, 2.2, 7.19, 11.28114356, 0.147162599
COC(C)=O,0.29, 0.79, 0.53, 0, 0, 0.42, 0.6, 6.7, 1.362, 7.58, 3.52, 3.72, 9.147961522, 0.181534613
C1COCCN1,0.32, 0.89, 0.61, 0, 0.29, 0.7, 0.39, 7.4, 1.455, 9.19, 2.4, 4.5, 10.51028544, 0.213415042
CC(=O)N(C)C,0.4, 0.8, 0.31, 0, 0, 0.76, 0.88, 37.78, 1.4384, 8.21, 5.62, 4.99, 11.13052559, 0.208056992
O=[N+]([O-])c1ccccc1,0.32, 0.97, 0.24, 0.06, 0, 0.3, 1.01, 34.8, 1.552, 9.78, 4.2, 2, 10.82997692, 0.242153206
CN1CCCC1=O,0.355, 0.97, 0.61, 0.02, 0, 0.77, 0.92, 32.2, 1.47, 9.78, 4.2, 2, 10.82997692, 0.218140479
CCCO,0.62, 0.85, 0.78, 0.37, 0.84, 0.9, 0.52, 21.51, 1.385, 7.82, 3.32, 8.51, 12.02476195, 0.189855162
CCCCCCCC,0.01, 0.54, 0.08, 0, 0, 0, 0.01, 1.96, 1.395, 7.58, 0, 0, 7.58, 0.193380076
O=C1CCCO1,0.42, 0.99, 0.4, 0.06, 0, 0.49, 0.87, 40.96, 1.437, 9.29, 8.12, 3.62, 12.85857302, 0.207598805
CCCCCO,0.57, 0.82, 0.86, 0.32, 0.84, 0.86, 0.4, 13.9, 1.409, 16, 4.5, 13.9, 21.66702564, 0.198223259
Fc1ccccc1,0.194, 0.77, 0.11, 0, 0, 0.07, 0.62, 5.42, 1.4684, 9.14, 2.98, 0.98, 9.663353455, 0.217641591
CCCO,0.62, 0.85, 0.78, 0.37, 0.84, 0.9, 0.52, 21.8, 1.3856, 7.82, 3.32, 8.51, 12.02476195, 0.190068219
c1ccncc1,0.3, 0.92, 0.58, 0.03, 0, 0.64, 0.87, 12.5, 1.5102, 9.29, 4.3, 2.88, 10.63430769, 0.230284133
ClC(Cl)(Cl)Cl,0.05, 0.63, 0.04, 0, 0, 0.1, 0.28, 2.24, 1.4601, 8.7, 0, 0.29, 8.704831991, 0.215033901
O,1, 0.96, 0.03, 1.06, 1.17, 0.47, 1.09, 80.36, 1.333, 7.63, 7.82, 20.68, 23.38870881, 0.170603178
blank_cell,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
