,kl_divergence,average_mean_distance,sigular_value_difference,js_distance,cov_distance
random,1.0315063,15.971380237013362,305.26562,0.033693534673272706,5.041976431848529
by_ligand1,12.00955,16.95789294439243,252.0653,0.11317812401997765,35.13011833695082
by_paper,0.73259103,15.68963627611957,370.41086,0.07343618767154214,33.88693436051674
by_year,0.00393752,14.282924315966817,395.12503,inf,79.7945521233528
